"Drug","04-05-2022"
"ivermectin",1463
"remdesivir",1235
"fentanyl",219
"hydroxychloroquine",95
"midazolam",65
"dexamethasone",41
"rutin",32
"artemisinin",27
"celecoxib",25
"quercetin",23
"famciclovir",21
"fluvoxamine",18
"ketamine",18
"ibuprofen",17
"ritonavir",16
"aviptadil",13
"camostat",9
"apixaban",7
"azithromycin",6
"niacin",6
"sulforaphane",6
"thalidomide",6
"atorvastatin",5
"dopamine",5
"imatinib",5
"sirolimus",5
"acetaminophen",4
"bucillamine",4
"cysteine",4
"doxycycline",4
"gabapentin",4
"manganese",4
"metformin",4
"prednisolone",4
"carnosine",3
"chloroquine",3
"glutathione",3
"methotrexate",3
"nicotinamide",3
"prednisone",3
"ruboxistaurin",3
"salbutamol",3
"talopram",3
"amitriptyline",2
"arginine",2
"baricitinib",2
"cannabidiol",2
"chlorhexidine",2
"epinephrine",2
"famotidine",2
"fexofenadine",2
"l-lysine",2
"niclosamide",2
"penicillin",2
"phenol",2
"phosphorus",2
"plitidepsin",2
"quinine",2
"tramadol",2
"vincristine",2
"acetazolamide",1
"acyclovir",1
"alanine",1
"aspartame",1
"avacopan",1
"azathioprine",1
"azeliragon",1
"benzydamine",1
"bms-986094",1
"bromhexine",1
"budesonide",1
"calcifediol",1
"camphor",1
"carbocisteine",1
"cefotaxime",1
"ceftazidime",1
"citalopram",1
"cobalamin",1
"codeine",1
"creatine",1
"creatinine",1
"curcumin",1
"diclofenac",1
"doxazosin",1
"enzalutamide",1
"erdosteine",1
"ertapenem",1
"favipiravir",1
"febuxostat",1
"fingolimod",1
"forskolin",1
"fosinopril",1
"fructose",1
"gentamicin",1
"histidine",1
"letrozole",1
"levothyroxine",1
"lidocaine",1
"lopinavir",1
"megestrol",1
"megestrol acetate",1
"meropenem",1
"methadone",1
"methionine",1
"methylprednisolone",1
"moexipril",1
"nafamostat",1
"nelfinavir",1
"piperine",1
"potassium",1
"progesterone",1
"proline",1
"promethazine",1
"propofol",1
"quinapril",1
"r-428",1
"resveratrol",1
"riboflavin",1
"s-23",1
"semaglutide",1
"sildenafil",1
"spironolactone",1
"squalene",1
"sulbactam",1
"tacrolimus",1
"telmisartan",1
"tempol",1
"tryptophan",1
"up5",1
"urolithin a",1
"venlafaxine",1
"verapamil",1
"zopiclone",1
